MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Deepak Vasantrao Kesarkar,1900-03-09,Sawantwadi,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Deepak Vasantrao Kesarkar.jpg
Deorao Vithoba Bhongle,1900-02-15,Rajura,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Deorao Vithoba Bhongle.jpg
Devendra Gangadhar Fadnavis,1900-02-23,Nagpur South West,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Devendra Gangadhar Fadnavis.jpg
Devendra Rajesh Kothe,1900-02-03,Solapur City Central,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Devendra Rajesh Kothe.jpg
Devyani Suhas Pharande,1900-02-27,Nashik Central,Female,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Devyani Suhas Pharande.jpg
Dhananjay Hari Gadgil,1900-03-11,Sangli,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dhananjay Hari Gadgil.jpg
Dhananjay Panditrao Munde,1900-02-18,Parli,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dhananjay Panditrao Munde.jpg
Dilip Bhausaheb Lande,1900-03-03,Chandivali,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dilip Bhausaheb Lande.jpg
Dilip Dattatray Walse Patil,1900-03-07,Ambegaon,Male,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dilip Dattatray Walse Patil.jpg
Dilip Gangadhar Sopal,1900-03-15,Barshi,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dilip Gangadhar Sopal.jpg
Dilip Manglu Borse,1900-02-28,Baglan,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dilip Manglu Borse.jpg
Diliprao Shankarrao Bankar,1900-02-29,Niphad,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bankar Diliprao Shankarrao.jpg
Dnyaneshwar Alias Mauli Aba Katke,1900-02-16,Shirur,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dnyaneshwar Alias Mauli Aba Katke.jpg
Eknath Sambhaji Shinde,1900-02-29,Kopri - Pachpakhadi,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Eknath Sambhaji Shinde.jpg
Gajanan Motiram Lawate,1900-02-23,Daryapur,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Gajanan Motiram Lawate.jpg
Ganesh Ramchandra Naik,1900-03-14,Airoli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ganesh Ramchandra Naik.jpg
Girish Dattatray Mahajan,1900-03-04,Jamner,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Girish Dattatray Mahajan.jpg
Gopichand Kundlik Padalkar,1900-02-12,Jat,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Gopichand Kundlik Padalkar.jpg
Gulabrao Raghunath Patil,1900-02-27,Jalgaon Rural,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Gulabrao Raghunath Patil.jpg
Harish Marotiappa Pimple,1900-02-16,Murtizapur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Harish Marotiappa Pimple.jpg
Harishchandra Sakharam Bhoye,1900-02-24,Vikramgad,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bhoye Harishchandra Sakharam.jpg
Haroon Khan,1900-03-02,Versova,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Haroon Khan.jpg
Hasan Miyalal Mushrif,1900-03-10,Kagal,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Mushrif Hasan Miyalal.jpg
Hemant Bhujangrao Ogale,1900-02-13,Shrirampur,Male,Indian National Congress,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ogale Hemant Bhujangrao.jpg
